,Tweet,classe
0,EU TINHA FALADO QUARTO PERDÃO!!!,perdão
1,"RT @UrbanNathalia: A advogada de Julian Assange, Jennifer Robinson, disse hoje no tribunal em Londres, que os representantes de Trump ofere…",perdão
2,"RT @peachiuy: QUEM É O T3ddy

para o cego, é a luz
para o faminto, é o pão
para o enfermo, é a cura
para o triste, é alegria
para o pobre,…",perdão
3,@haileychanges amg KKKKK perdao,perdão
4,"RT @peachiuy: QUEM É O T3ddy

para o cego, é a luz
para o faminto, é o pão
para o enfermo, é a cura
para o triste, é alegria
para o pobre,…",perdão
5,"RT @tommoinfo: De acordo com a preferência de vocês, nós estaremos adiando o sorteio de Ingresso PC do show de São Paulo para o dia 30/09.…",perdão
6,"RT @nudezzin: AAAAAAAAA É MIO ANIVERSÁRIO &lt;333333

JEKSJDJSKEJJDJSJEJ😔🤲❤❤❤❤❤❤❤❤❤❤❤❤❤✨✨

muito obrigade pelo apoio de todos e perdão pelo de…",perdão
7,@wanggggx Perdão...,perdão
8,"Continuação!
Kkkkkkk eu mereço. 

O seu perdão, foi o block que te dei. https://t.co/XUQKW0fOog https://t.co/01bUcfWW08",perdão
9,"@hiraethprepon Não tem problema, eu que peço perdão e agradeço por me alertar, muito obrigada kkkk",perdão
10,"quer sair blz, mas achar isso bonito e achar q ta certa kkkkk pelo amor de geová neh fia, encontrou a vergonha e en… https://t.co/4qnxfMfmKC",amor
11,"Em terra de músicas que são cantadas por mulheres, que fazem sucesso absoluto com letras reprodutoras de machismo,… https://t.co/Wlk8VAlUwP",amor
12,odeio essa garota mas superem ela pelo amor nem eu aguento mais um exposed a cada dois meses,amor
13,RT @gabrielraposo_1: E a minha namorada que decidiu me dar uma aliança no dia que a gnt estava saindo pra jantar pois eu iria dar uma alian…,amor
14,@xzduda sim amor!!!,amor
15,"É magia te encontrar
Em plena noite de encantos
Pois a noite é sempre amiga do amor",amor
16,Mano dor infernal nas costa pelo amor de deus desculpa ter te xingado togashi,amor
17,"RT @jornalodia: De acordo com portais de notícias gospel, o pastor é Edson Araújo, da igreja Deus é Amor, de São Paulo.
#ODia 

https://t.c…",amor
18,RT @jilmartatto: Hoje é o Dia Nacional do Teatro. Façamos deste 19 de setembro um ato de amor e resistência por essa que é uma das mais ant…,amor
19,"RT @revistaforum: Pastor, identificado como Edson Araújo, da Igreja Deus é Amor, de São Paulo, agride uma mulher sem saber que a câmera est…",amor
20,@conanruel PARECE Q TO DERRETENDO ÓDIO,ódio
21,Até quando vocês vão sexualizar eles por qualquer coisa? Que ódio https://t.co/xubwlur4AJ,ódio
22,"RT @flaamor1981: O BRAZ DISSE QUE OS JOGADORES SE EMPENHARAM EM CAMPO NA PARTIDA CONTRA O DEL VALLE, CARALHO VAI TOMAR NO CU, PARA DE PASSA…",ódio
23,"Que ódio da vidotti , muito gata credo vey https://t.co/wsFoKVwUdQ",ódio
24,q ódio no final eu sempre vou me sentir culpada,ódio
25,quer me matar é ganhar culpa do que eu não fiz!!!! Que ódio,ódio
26,"RT @yasminpxj: sou mt ciumenta pprt, q ódio",ódio
27,@fonsecguilherme @rubala3 @grrrreo @FunkyBlackCat Carai cê pegou um ódio profundo memo,ódio
28,@fig4yredo @poxamarquinhos kkkkkkkkkkkk que odio,ódio
29,@slyjubspottah PARA VEI ODIO. AKKAKAKAKAK BLOCK,ódio
30,RT @AndhreGhuterres: Estourou a revolta! https://t.co/Vpa8jCUlQO,revolta
31,"Saiu com várias erros de português pontuação, mas representa minha revolta escrevendo isso.",revolta
32,"RT @CormacWalter: Pow, eu entendo a revolta de algumas meninas por acharem que só existe macho escroto nessa cidade ( a maioria pode até se…",revolta
33,"RT @fj82guimaraes: Só não vê quem não quer e quem prefere a critica mais fácil e óbvia.

Zico: ""O nosso time (na década de 80) ganhou tudo…",revolta
34,"RT @FlaResenhaNews: Zico se revolta com goleada sofrida pelo Flamengo: ""O nosso time (na década de 80) ganhou tudo e tivemos cinco treinado…",revolta
35,"Falei com uma terceira pessoa, só essa semana, que me diz que está fazendo terapia. 
E o motivo é o mesmo: não é a… https://t.co/gCzVUGuvf8",revolta
36,"RT @aanalutp: @RickazevedoB é doido pq eu sendo branca me sinto estranha em lugares assim. isso pq quanto mais a gnt se informa, a gnt estu…",revolta
37,@milicianacx @paboolom Os brancos estão nessa revolta toda e dando chilique em apenas um dia imagine o negro que so… https://t.co/jifKQYO45H,revolta
38,"RT @MCTCOSTA_: Galera esse é meu irmão, amigo, DJ e Mc Neguito. Foi humilhado por ser trabalhador fiquei muito triste com essa situação, el…",revolta
39,"RT @FlaResenhaNews: Zico se revolta com goleada sofrida pelo Flamengo: ""O nosso time (na década de 80) ganhou tudo e tivemos cinco treinado…",revolta
40,"@neryagrarias Difícil encontrar alguém que NUNCA tenha magoado outra pessoa, somos humanos, no decorrer da viinevit… https://t.co/wSa43qYk7c",perdão
41,"RT @gcfmalfoy: 157- segundo print: esse TIPO de conteúdo* erros, perdão. de qualquer forma não deve ser incentivado o ato de mandar nudes p…",perdão
42,@minenenona perdão não é meme,perdão
43,"esses meses pra cá não fui tão ativo tanto aqui como em rede sociais e etc... a coisa não andam mt bem
tanto na fam… https://t.co/UTpSIHSAa5",perdão
44,@lthingspayno @Louis_Tomlinson Perdão 😔,perdão
45,RT @VazHenriqueVaz1: O que foi feito ao NANI. Demiral e Matheus Pereira nunca terão o meu perdão,perdão
46,"RT @peachiuy: QUEM É O T3ddy

para o cego, é a luz
para o faminto, é o pão
para o enfermo, é a cura
para o triste, é alegria
para o pobre,…",perdão
47,"RT @peachiuy: QUEM É O T3ddy

para o cego, é a luz
para o faminto, é o pão
para o enfermo, é a cura
para o triste, é alegria
para o pobre,…",perdão
48,@Fontoura006 @victorsants_10 uuuui perdão KAKAKKAKSKSKSKDMD pode deixar,perdão
49,EU TINHA FALADO QUARTO PERDÃO!!!,perdão
50,"@kill4rod Nem deus pode te julgar, meu amor. Kkkkkkk",amor
51,MEU AMOR VC N BJ VC DÁ AULA,amor
52,RT @RicFazeres: Obrigado a todos pelo apoio e carinho.Vocês têm sido o ombro amigo com tanta mensagem e preocupação 😔🙏 Processo:continuo a…,amor
53,"RT @thisbursin: Serkan Bolat conseguiu abrir seus sentimentos, conseguiu demonstrar suas emoções e passar por cima de todos os muros que el…",amor
54,@flaesports Oque tá dando nesses cara??Pelo amor de Deusss,amor
55,RT @gabrielraposo_1: E a minha namorada que decidiu me dar uma aliança no dia que a gnt estava saindo pra jantar pois eu iria dar uma alian…,amor
56,"RT @Ficantesfalandu: Me estressa, me irrita mas é amor da minha vida todinha 😤❤️🙄👩‍❤️‍💋‍👨",amor
57,RT @vxrxvs: vem no amor porque no golpe eu caio,amor
58,@Guiizaum__ joga cmg amor,amor
59,RT @felipezando: pelo amor de deus alguém chama o conselho tutelar https://t.co/OVAUoU7Ful,amor
60,pq eu fui nascer com pelo?? aaaaaa que ódio https://t.co/3khGBkhiPK,ódio
61,@dravizim Hoje eu to inteira e mais um pouco trabalhada no ódio! Vicentão meu espírito animal hahahaha,ódio
62,"RT @josiaspereira: ""Tenho o ódio do apartheid em meus ossos; e, acima de tudo, detesto a segregação ou separação da Língua e da Literatura.…",ódio
63,"RT @bxrcwlona: PUTA QUE PARIU EU N AGUENTO MAIS SERGI ROBERTO E SEMEDO
além de não defenderem bem e deixarem espaço pra cacete vira e mexe…",ódio
64,@howbiah Mas que ódio que essa bio não tá centralizada😭😭😭😭😭😭😭😭😭😭,ódio
65,QUE ÓDIO PORRA NÃO SE MEXE COM A YERI PELA CRIANÇA DOU MINHA VIDA https://t.co/j31XB1pCos,ódio
66,"RT @mwndstef: EU
NÃO
QUERO
SEGUIDOR
EU QUERO &gt;AMIGO&lt;, &gt;INTERAÇÃO&lt; QUE ÓDIO EU SO QUERO TER ALGM PRA CONVERSAR",ódio
67,@larriegrazer QUE ÓDIO VÉI,ódio
68,que odio fui desconectada do among justo agr que so impostora 😭,ódio
69,RT @_majurgs: se tem um bagulho que me deixa BOLADA e alguém desmerecer o trampo dos outros! Bando de gente que nem trabalha fica falando q…,ódio
70,cara mikael se revolta e posta logo textão no tt KKKKKKKK,revolta
71,"RT @FlaResenhaNews: Zico se revolta com goleada sofrida pelo Flamengo: ""O nosso time (na década de 80) ganhou tudo e tivemos cinco treinado…",revolta
72,"RT @MCTCOSTA_: Galera esse é meu irmão, amigo, DJ e Mc Neguito. Foi humilhado por ser trabalhador fiquei muito triste com essa situação, el…",revolta
73,RT @iparisday: as pessoas descobrindo a revolta de cumã ficam tipo 😮😮😮 nossa como assim os indígenas lutaram contra a escravidão 😱😱🤯,revolta
74,"Parece cena de filme pós apocaliptico, mas é desolador saber que é real e a poucos quilômetros daqui... tristeza, ó… https://t.co/3feZjodv7o",revolta
75,"RT @FlaResenhaNews: Zico se revolta com goleada sofrida pelo Flamengo: ""O nosso time (na década de 80) ganhou tudo e tivemos cinco treinado…",revolta
76,"@sara__neves Infelizmente serei um deles, mas (também) por deformação profissional... só leio em inglês e trabalho… https://t.co/Q43ivwYinU",revolta
77,"RT @FlaResenhaNews: Zico se revolta com goleada sofrida pelo Flamengo: ""O nosso time (na década de 80) ganhou tudo e tivemos cinco treinado…",revolta
78,"RT @fj82guimaraes: Só não vê quem não quer e quem prefere a critica mais fácil e óbvia.

Zico: ""O nosso time (na década de 80) ganhou tudo…",revolta
79,"RT @MCTCOSTA_: Galera esse é meu irmão, amigo, DJ e Mc Neguito. Foi humilhado por ser trabalhador fiquei muito triste com essa situação, el…",revolta
80,Peço perdão e desejo sorte antecipadamente aos ganhadores do sorteio por terem que abrir o exagero de embalagens qu… https://t.co/4UuXI2xCUt,perdão
81,"RT @peachiuy: QUEM É O T3ddy

para o cego, é a luz
para o faminto, é o pão
para o enfermo, é a cura
para o triste, é alegria
para o pobre,…",perdão
82,@Rodrigokkjkk Perdão,perdão
83,@luixsccp sem perdao,perdão
84,@monteser_ @Fortalezidista @MarioPedrosa @VEmmanuell @FortalezaEC Estava brigando no whatsapp. Perdão.,perdão
85,"RT @JasonDomigues: Mas Deus não é moderadamente agradável. Ele é infinitamente agradável. Se não estamos intensamente satisfeitos com Deus,…",perdão
86,"RT @luanaa_rocha: Uma pessoa que faz isso não tem meu perdão nunca, tem que ser preso sim e por muitos anos",perdão
87,"RT @Severna20: LEMBRETE AMIGÁVEL PARA LEVANTAR ""WATCH GLITCH TECHS""
Perdão pelo incômodo, se não quiser levantar tudo bem 💖
@entediadadms @…",perdão
88,"Peço perdão a deus acima de tudo primeiramente 
Só ele sabe o que tem no meu coração so ele sabe o que passa na minha mente",perdão
89,"@galaxytaegijoon primeiro, melhoras amg, espero q esteja bem agora sjsk e ontem teve meio q um festival online, ai… https://t.co/SUbgrd9fvp",perdão
